Datetime,Open,High,Low,Close,Volume
2025-04-14 00:00:00,1.3000,1.3050,1.2950,1.3020,1000
2025-04-14 00:15:00,1.3020,1.3100,1.2990,1.3080,1100
2025-04-14 00:30:00,1.3080,1.3150,1.3060,1.3120,1200
2025-04-14 00:45:00,1.3120,1.3100,1.3050,1.3070,1150
2025-04-14 01:00:00,1.3070,1.3000,1.2950,1.2980,1300
2025-04-14 01:15:00,1.2980,1.2950,1.2900,1.2930,1250
2025-04-14 01:30:00,1.2930,1.2900,1.2800,1.2850,1400
2025-04-14 01:45:00,1.2850,1.2870,1.2800,1.2830,1380
2025-04-14 02:00:00,1.2830,1.2900,1.2800,1.2890,1420
2025-04-14 02:15:00,1.2890,1.2950,1.2800,1.2910,1450
2025-04-14 02:30:00,1.2910,1.2920,1.2700,1.2720,1500
2025-04-14 02:45:00,1.2720,1.2800,1.2700,1.2750,1550
2025-04-14 03:00:00,1.2750,1.2800,1.2600,1.2650,1600
2025-04-14 03:15:00,1.2650,1.2700,1.2600,1.2670,1650
2025-04-14 03:30:00,1.2670,1.2700,1.2600,1.2630,1700
2025-04-14 03:45:00,1.2630,1.2700,1.2600,1.2680,1750
2025-04-14 04:00:00,1.2680,1.2750,1.2600,1.2720,1800
2025-04-14 04:15:00,1.2720,1.2750,1.2600,1.2620,1850
2025-04-14 04:30:00,1.2620,1.2650,1.2600,1.2640,1900
2025-04-14 04:45:00,1.2640,1.2660,1.2600,1.2650,1950
2025-04-14 05:00:00,1.2650,1.2670,1.2600,1.2660,2000
2025-04-14 05:15:00,1.2660,1.2700,1.2600,1.2680,2050
2025-04-14 05:30:00,1.2680,1.2700,1.2600,1.2620,2100
2025-04-14 05:45:00,1.2620,1.2650,1.2600,1.2630,2150
2025-04-14 06:00:00,1.2630,1.2650,1.2600,1.2640,2200
2025-04-14 06:15:00,1.2640,1.2700,1.2600,1.2690,2250
2025-04-14 06:30:00,1.2690,1.2750,1.2600,1.2720,2300
2025-04-14 06:45:00,1.2720,1.2750,1.2600,1.2710,2350
2025-04-14 07:00:00,1.2710,1.2750,1.2600,1.2730,2400
2025-04-14 07:15:00,1.2730,1.2800,1.2600,1.2780,2450
2025-04-14 07:30:00,1.2780,1.2800,1.2600,1.2650,2500
2025-04-14 07:45:00,1.2650,1.2700,1.2600,1.2670,2550
2025-04-14 08:00:00,1.2670,1.2700,1.2600,1.2680,2600
2025-04-14 08:15:00,1.2680,1.2700,1.2600,1.2690,2650
2025-04-14 08:30:00,1.2690,1.2700,1.2600,1.2750,2700
2025-04-14 08:45:00,1.2750,1.2780,1.2600,1.2770,2750
2025-04-14 09:00:00,1.2770,1.2800,1.2600,1.2780,2800
2025-04-14 09:15:00,1.2780,1.2800,1.2600,1.2790,2850
2025-04-14 09:30:00,1.2790,1.2800,1.2600,1.2800,2900
2025-04-14 09:45:00,1.2800,1.2850,1.2600,1.2830,2950
2025-04-14 10:00:00,1.2830,1.2900,1.2600,1.2880,3000
2025-04-14 10:15:00,1.2880,1.2900,1.2600,1.2850,3050
2025-04-14 10:30:00,1.2850,1.2900,1.2600,1.2860,3100
2025-04-14 10:45:00,1.2860,1.2900,1.2600,1.2870,3150
2025-04-14 11:00:00,1.2870,1.2900,1.2600,1.2880,3200
2025-04-14 11:15:00,1.2880,1.2900,1.2600,1.2890,3250
2025-04-14 11:30:00,1.2890,1.2900,1.2600,1.2910,3300
2025-04-14 11:45:00,1.2910,1.2900,1.2600,1.2890,3350
2025-04-14 12:00:00,1.2890,1.2900,1.2600,1.2900,3400
2025-04-14 12:15:00,1.2900,1.2950,1.2600,1.2920,3450
2025-04-14 12:30:00,1.2920,1.2950,1.2600,1.2940,3500
2025-04-14 12:45:00,1.2940,1.2950,1.2600,1.2930,3550
2025-04-14 13:00:00,1.2930,1.2950,1.2600,1.2940,3600
2025-04-14 13:15:00,1.2940,1.2950,1.2600,1.2950,3650
2025-04-14 13:30:00,1.2950,1.2980,1.2600,1.2970,3700
2025-04-14 13:45:00,1.2970,1.3000,1.2600,1.2980,3750
2025-04-14 14:00:00,1.2980,1.3000,1.2600,1.2990,3800
2025-04-14 14:15:00,1.2990,1.3000,1.2600,1.3000,3850
2025-04-14 14:30:00,1.3000,1.3050,1.2600,1.3020,3900
2025-04-14 14:45:00,1.3020,1.3050,1.2600,1.3030,3950
2025-04-14 15:00:00,1.3030,1.3050,1.2600,1.3010,4000
2025-04-14 15:15:00,1.3010,1.3050,1.2600,1.3020,4050
2025-04-14 15:30:00,1.3020,1.3050,1.2600,1.3040,4100
2025-04-14 15:45:00,1.3040,1.3050,1.2600,1.3030,4150
2025-04-14 16:00:00,1.3030,1.3050,1.2600,1.3020,4200
2025-04-14 16:15:00,1.3020,1.3050,1.2600,1.3010,4250
2025-04-14 16:30:00,1.3010,1.3050,1.2600,1.3000,4300
2025-04-14 16:45:00,1.3000,1.3050,1.2600,1.2980,4350
2025-04-14 17:00:00,1.2980,1.3050,1.2600,1.2990,4400
2025-04-14 17:15:00,1.2990,1.3050,1.2600,1.3000,4450
2025-04-14 17:30:00,1.3000,1.3050,1.2600,1.3010,4500
2025-04-14 17:45:00,1.3010,1.3050,1.2600,1.3020,4550
2025-04-14 18:00:00,1.3020,1.3050,1.2600,1.3030,4600
2025-04-14 18:15:00,1.3030,1.3050,1.2600,1.3040,4650
2025-04-14 18:30:00,1.3040,1.3050,1.2600,1.3050,4700
2025-04-14 18:45:00,1.3050,1.3050,1.2600,1.3060,4750
2025-04-14 19:00:00,1.3060,1.3050,1.2600,1.3070,4800
2025-04-14 19:15:00,1.3070,1.3050,1.2600,1.3080,4850
2025-04-14 19:30:00,1.3080,1.3050,1.2600,1.3090,4900
2025-04-14 19:45:00,1.3090,1.3050,1.2600,1.3100,4950
2025-04-14 20:00:00,1.3100,1.3050,1.2600,1.3110,5000
2025-04-14 20:15:00,1.3110,1.3050,1.2600,1.3120,5050
2025-04-14 20:30:00,1.3120,1.3050,1.2600,1.3130,5100
2025-04-14 20:45:00,1.3130,1.3050,1.2600,1.3140,5150
2025-04-14 21:00:00,1.3140,1.3050,1.2600,1.3150,5200
2025-04-14 21:15:00,1.3150,1.3050,1.2600,1.3160,5250
2025-04-14 21:30:00,1.3160,1.3050,1.2600,1.3170,5300
2025-04-14 21:45:00,1.3170,1.3050,1.2600,1.3180,5350
2025-04-14 22:00:00,1.3180,1.3050,1.2600,1.3190,5400
2025-04-14 22:15:00,1.3190,1.3050,1.2600,1.3200,5450
2025-04-14 22:30:00,1.3200,1.3050,1.2600,1.3210,5500
2025-04-14 22:45:00,1.3210,1.3050,1.2600,1.3220,5550
2025-04-14 23:00:00,1.3220,1.3050,1.2600,1.3230,5600
2025-04-14 23:15:00,1.3230,1.3050,1.2600,1.3240,5650
2025-04-14 23:30:00,1.3240,1.3050,1.2600,1.3250,5700
2025-04-14 23:45:00,1.3250,1.3050,1.2600,1.3260,5750
2025-04-15 00:00:00,1.3260,1.3050,1.2600,1.3250,5800
2025-04-15 00:15:00,1.3250,1.3050,1.2600,1.3240,5850
2025-04-15 00:30:00,1.3240,1.3050,1.2600,1.3260,5900
2025-04-15 00:45:00,1.3260,1.3050,1.2600,1.3270,5950
2025-04-15 01:00:00,1.3270,1.3050,1.2600,1.3280,6000
2025-04-15 01:15:00,1.3280,1.3050,1.2600,1.3290,6050
2025-04-15 01:30:00,1.3290,1.3050,1.2600,1.3300,6100
2025-04-15 01:45:00,1.3300,1.3050,1.2600,1.3310,6150
2025-04-15 02:00:00,1.3310,1.3050,1.2600,1.3320,6200
2025-04-15 02:15:00,1.3320,1.3050,1.2600,1.3330,6250
2025-04-15 02:30:00,1.3330,1.3050,1.2600,1.3340,6300
2025-04-15 02:45:00,1.3340,1.3050,1.2600,1.3350,6350
2025-04-15 03:00:00,1.3350,1.3050,1.2600,1.3360,6400
2025-04-15 03:15:00,1.3360,1.3050,1.2600,1.3370,6450
2025-04-15 03:30:00,1.3370,1.3050,1.2600,1.3380,6500
2025-04-15 03:45:00,1.3380,1.3050,1.2600,1.3390,6550
2025-04-15 04:00:00,1.3390,1.3050,1.2600,1.3400,6600
2025-04-15 04:15:00,1.3400,1.3050,1.2600,1.3410,6650
